timestamp,wind_speed,rotor_rpm,generator_rpm,power_output,nacelle_temp,gearbox_oil_temp,pitch_angle,yaw_angle,status
2026-08-31T12:00:00Z,7.1,11.8,1414.3,598.6,38.1,61.9,3.3,181.6,RUNNING
2026-08-31T12:00:01Z,7.0,11.7,1395.6,591.7,38.1,62.0,3.0,181.4,RUNNING
2026-08-31T12:00:02Z,6.9,11.9,1425.9,563.6,38.0,61.9,3.3,181.6,RUNNING
2026-08-31T12:00:03Z,7.6,12.8,1537.7,683.8,38.1,62.1,3.4,181.6,RUNNING
2026-08-31T12:00:04Z,7.4,12.8,1534.6,651.8,38.1,62.1,3.4,181.6,RUNNING
2026-08-31T12:00:05Z,7.6,12.6,1510.6,682.9,37.9,62.0,3.1,181.4,RUNNING
2026-08-31T12:00:06Z,7.6,12.8,1540.4,685.4,38.1,62.1,3.1,181.7,RUNNING
2026-08-31T12:00:07Z,7.3,12.6,1505.4,638.5,38.1,62.1,3.4,181.6,RUNNING
2026-08-31T12:00:08Z,7.9,13.7,1635.5,741.2,38.0,62.2,3.2,181.5,RUNNING
2026-08-31T12:00:09Z,8.0,13.6,1628.3,772.5,38.0,62.0,3.4,181.5,RUNNING
2026-08-31T12:00:10Z,7.9,13.2,1588.6,754.6,38.2,62.1,3.2,181.4,RUNNING
2026-08-31T12:00:11Z,7.6,12.6,1507.6,691.3,38.0,62.1,3.4,181.5,RUNNING
2026-08-31T12:00:12Z,8.4,14.2,1714.4,851.6,38.2,62.1,3.1,181.7,RUNNING
2026-08-31T12:00:13Z,7.9,13.5,1610.4,740.0,38.2,62.1,3.2,181.8,RUNNING
2026-08-31T12:00:14Z,8.1,13.6,1638.5,803.4,38.1,62.0,3.2,181.6,RUNNING
2026-08-31T12:00:15Z,8.4,14.3,1721.0,849.4,38.0,62.3,3.1,181.5,RUNNING
2026-08-31T12:00:16Z,8.6,14.8,1771.0,868.9,38.0,62.2,3.4,181.8,RUNNING
2026-08-31T12:00:17Z,8.0,13.8,1652.9,756.4,38.1,62.3,3.3,181.6,RUNNING
2026-08-31T12:00:18Z,8.4,14.0,1683.1,843.6,38.3,62.2,3.2,181.5,RUNNING
2026-08-31T12:00:19Z,8.4,14.3,1717.2,844.5,38.1,62.1,3.2,181.6,RUNNING
2026-08-31T12:00:20Z,8.2,14.0,1680.1,819.6,38.1,62.2,3.4,181.4,RUNNING
2026-08-31T12:00:21Z,8.4,14.0,1687.8,845.2,38.3,62.1,3.3,181.7,RUNNING
2026-08-31T12:00:22Z,8.4,14.2,1697.9,835.9,38.3,62.1,3.4,181.7,RUNNING
2026-08-31T12:00:23Z,8.7,14.6,1758.0,891.7,38.2,62.2,3.2,181.6,RUNNING
2026-08-31T12:00:24Z,8.6,14.9,1782.9,897.0,38.3,62.3,3.3,181.5,RUNNING
2026-08-31T12:00:25Z,9.2,15.9,1916.2,1011.3,38.2,62.1,3.3,181.5,RUNNING
2026-08-31T12:00:26Z,8.8,15.3,1829.6,939.6,38.3,62.4,3.3,181.6,RUNNING
2026-08-31T12:00:27Z,9.0,15.4,1848.9,966.5,38.2,62.3,3.5,181.7,RUNNING
2026-08-31T12:00:28Z,8.7,14.8,1771.7,909.4,38.1,62.2,3.2,181.8,RUNNING
2026-08-31T12:00:29Z,9.1,15.6,1873.2,989.7,38.3,62.3,3.5,181.6,RUNNING
2026-08-31T12:00:30Z,9.0,15.4,1850.2,993.5,38.2,62.3,3.2,181.8,RUNNING
2026-08-31T12:00:31Z,9.3,15.7,1877.9,1042.1,38.4,62.4,3.1,181.7,RUNNING
2026-08-31T12:00:32Z,8.8,14.9,1781.9,952.4,38.2,62.2,3.5,181.8,RUNNING
2026-08-31T12:00:33Z,9.5,16.3,1952.8,1096.5,38.4,62.3,3.4,181.5,RUNNING
2026-08-31T12:00:34Z,9.4,16.2,1944.6,1047.7,38.2,62.4,3.1,181.7,RUNNING
